"site_id","notes"
13,"234U/238U values of BGC-5, BGC-10, BGC-11_2018, BGC-16 (entity_id = 633, 634, 635, 636) are derived from d234U values."
14,"CDR3 (entity_id = 641): Trace element data based on supplemental file is from base, according to age data, since depth data is not available. \\ WR11 (entity_id = 642): Trace element data based on supplemental file is from top, according to age data, since depth data is not available. \\ CDR3 and WR11 (entity_id = 641, 642): Major and trace elements were measured along the primary growth axis, using previously drilled stable isotope holes for spatial reference. Analyses were taken at 1 mm spacing (i.e. next to every second stable isotope hole) using a spot size of 100 microns and an integration time of 60 s. The first 20 s of data were discarded."
15,"Geology: Carbonate. \\ For the bottom section of BA-1 (entity_id = 71), below depth_sample = 232.4 mm, the age model of BA-1 (entity_id = 71) has been adjusted to that off BA-2 (entity_id = 72); this is documented in the publication."
16,"Vegetation: Deciduous and evergreen.\\ Entity Han-9 (entity_id = 75) has two samples (sample_id = 37484 and 37485 at depth_sample = 179.5 and 179, respectively) which had max interp_age provided to be greater than interp_age, resulting in negative interp_age_uncert_neg. The absolute value of these interp_age_uncert_neg were provided instead."
17,"Vegetation: Secondary temperate trees and shrubs.\\ Entity HY1 and HY3 (entity_id = 76, 78) are not actively growing when collected."
21,"Rock age: Cambro-Ordovician.\\ In all entities from this site (SU967 (entity_id = 85) and SU032 (entity_id = 86)), initial 230Th/232Th atomic ratio of 4.4 +/- 2.2 x 10-6 used."
23,"Land use is mixed composed of farmland, grassland, semi-deciduous forest and without soil/vegetation cover. Drip height is inferred based on the height of ceilling of the collection site. Samples were broken with no active dripping site."
24,"Land use is mixed composed of farmland, grassland, semi-deciduous forest and without soil/vegetation cover. Drip height is inferred based on the height of ceilling of the collection site. Samples were broken with no active dripping site."
26,"Geology: Foliated marble and mica-shist. Vegetation: Birch and spruce forest, heather and peat moss. \\ Published depths for FM3 (entity_id = 95) and Oks82 (entity_id = 96) have been converted to distance from top. Offset in the age model for Oks82 (entity_id = 96) consistent with publication."
27,"Geology: dolomite with interbedded marls. \\ Entity TM2 (entity_id = 98) has 27 sets of samples with the same depth_sample and interp_age but different isotope values (d18O and d13C)). \\ Entity TM0 (entity_id = 97) is not actively growing when collected."
28,"Land use: Barren scrubland."
29,"Land use: Natural landscape with semi-arid woody shrub."
30,"Vegetation: Acacia bush savanna - mixed grassland and shrubland with some trees. \\ The LII4 (entity_id = 103) and LII4-KH (entity_id = 104) entities were sampled from the same speleothem. Two hiatuses in both LII4 (entity_id = 103) and LII4-KH (entity_id = 104) but the depths are unknown. Host Rock age is given as 'Proterozoic in both references. The weight of carbonate (mg) is given for drilled aliquots - some of these were subdivided and dated multiple times so the weight of the actual dated aliquot is not known (Holmgren et al. 1994)."
31,"Vegetation: C3 plants. \\ The ABA_1 (entity_id = 105) and ABA_2 (entity_id = 106) entities were sampled from the same flowstone."
32,"This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/."
35,"Entity CUR4 (entity_id = 110) is not actively growing when collected. \\ Minor changes were made to CUR4 (entity_id = 110) author_chronology and d18O data in this version of the database by the author and data contributor as d13C data was added."
36,"Entity DY-1 (entity_id = 111) is not actively growing when collected."
37,"DSSG-4 (entity_id = 112): U-series data only appear in graphic form in the original publication (Aharon et al.2012) not tabular so they are not included here. Cover thickness are from Aharon et al 2010 GCA paper. d18O and d13C precision are from Aharon et al 2017 QSR paper for the Alabama lab."
39,"Entity DA_2005 (entity_id = 442): Information on whether it is actively forming could not be retrieved."
41,"Rock age: Carboniferous-Permian.\\ Entity FG01 (entity_id = 117): Information on whether it is actively forming could not be retrieved."
42,"Entity IFK1 (entity_id = 118) is not actively growing when collected."
44,"Vegetation: dominated by oak shrubs (mainly Quercus coccifera) ~ 2 m high, different grass species (Lamiaceae species and Euphorbia sp). \\ GK-09-02 (entity_id = 120): Uncertainties for corrected ages were multiplied by 3 to account for uncertainties. This number was chosen arbitrarily."
49,"Geology and rock age: pre-Jurassic metamorphosed limestones and dolomites (marbles). \\ Entity ML2 (entity_id = 445): Dating samples at depth = 96mm (dating_id = 8143, 8144, 8145, 8146, 8147) were used to build an isochron with mean corrected age of 55700 +/- 490 yrs."
50,"Geology and rock age: pre-Jurassic metamorphosed limestones and dolomites (marbles). Vegetation: C3 plants.\\ MC3 (entity_id = 126): A linear age-depth model with data from Olster et al. 2009 (10.1016/j.epsl.2009.10.003) exists, but the present one is the newest as of 31st May 2018."
53,"Vegetation: Moorland. \\ Entity YD01 (entity_id = 129) had two isotope values at depth = 45mm; records with d18O = -4.478 and d13C = -5.635 were deleted."
54,"SAH-AB_2023 (entity_id = 902 ): SAH-A_2023 (entity_id = 900 ) and SAH-B_2023 (entity_id = 901 ) used to construct the composite."
55,"Vegetation: The karstified limestone is largely free of vegetation. Vegetation on the sandstone alternates between drylands, dominated by spruce and pine, and mires forming alpine peat bogs in topographic lows (Lüdi, 1933). \\ The isotope record (7H, entity_id = 133) is a composite of 7H-2 (entity_id = 134) and 7H-3 (entity_id = 135)."
56,"MAR_L (entity_id = 136): Published depths have been converted to distance from top."
57,"Geology: Steeply dipping band of calcite marble, between rocks of ferruginious mica schist. Vegetation: Blanket bog with sparse stunted tree growth.\\ Entity SG93 (entity_id = 435): Modern_reference assumed to be BP(1950). All depths have been shifted by 5mm not to have negative values."
58,"Land use: High alpine cave, some touristic use. Vegetation: Alpine grasses and mats. \\ 6 years of unpubublished drip water data available (only a few trace elements), contact Christoph Spötl for specific location of drip sites and further information. Entity SPA12 (entity_id = 138), SPA70 (entity_id = 139), SPA128 (entity_id = 140), SPA127 (entity_id = 141) do not have original_chronologies. Age model for COMNISPA II was produced with iscam. SPA121 (entity_id = 261) is already included in SISALv2 with d13C and d18O but the depths are missing, which are now reported in this workbook (publication Wendt et al., 2021) together with 30 more isotope samples as SPA121_2021 (entity_id = 729)."
59,"Vegetation: Pine and cypress forest with some deciduous broadleaf species. \\ Entity SZ2 (entity_id = 143) had two isotope values (d18O and d13C) at depth_sample = 177.33mm; these were averaged."
60,"Vegetation: Tropical rainforest. \\Entity Taurius (entity_id = 144): Information on whether it is actively forming could not be retrieved."
61,"Entity T1 (entity_id = 145): Original publication did not mention of any potential hiatus at depth = 116.031mm. The original age model adopted for stalagmite T1 is composed of four intervals of linear growth rate, where the oldest interval is constrained by tying the T1 d18O record to the Hulu Cave d18O record (Wang et al., 2001)."
62,"Entity TR5 (entity_id = 146): Stalagmite has an aragonite habit but mineralogy check was not performed."
65,"Vegetation: Dense tropical rainforest. \\ WR5 (entity_id = 149) chronology is matched to GC08 (entity_id = 186) from Green Cathedral cave using the AnalySeries software. The site elevation of 250m comes from NOAA/NCEI repository but the elevation of the chambers from which WR12-01 and WR12-12 (entity_id = 685, 686) were retrieved is 120-200masl. No hiatuses reported in original publication."
67,"This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/."
68,"Vegetation: Local Mediterranean with C3 type. In the past thought to be semi-arid C3 and C4 types. Sr isotope data given at approximate corresponding ages in the database. \\ The age model of AF12 (entity_id = 152) is taken from Frumkin et al. (1999, Fig 3) and is only approximate. Extraction was done with ''get data app. Original depth info unknown. There are inconsistencies between the isotope data in Frumkin et al., 2000 and that in NOAA. Entity AF12 (entity_id = 152): There is interpolated age inversion at the following paired depth samples: [85.7887 and 86.654] and [86.6909 and 87.3228]."
69,"Land use: Steep rocky slope so prsumably land not specifically used."
70,"AB-DC-09 (entity_id = 158) had 98 sets of samples with the same depth (with the same interp_age but different isotope values (d18O and d13C)); these were averaged. AB-DC-09 has stable isotope measurements at 1 mm intervals and trace element measurements at 0.5 mm intervals from 0 to 37 mm; 46 mm to 153 mm; 156 to 226 mm depth. Trace element measurements have been given at stable isotope equivalent depths in the database. Higher resolution measurements are available in the trace elements datafile. \\ AB-DC-12_2023 (entity_id = 692) has 14 extra data points in this version compared to SISALv2."
71,"Entity BAR-II#B (entity_id = 160) had two or more isotope values (d18O and d13C) at depth_sample = 234.5, 232.4, 231.8, 222.95, 222, 183, 182.2, 179.75, 177.4, 172, 162.6, 133.4, 130.6, 129.5, 128.5, 122.4, 120.5, 114.9, 112.1, 103.6, 84.15, 82.05, 80.85, 56.05, 38.6, 20.05mm; these were averaged.\\ Entity NU2 (entity_id = 397): C14 date at 27mm was not calibrated as it was determined as the location of the 1965 bomb peak. In the original paper, only the recounted 2016 lamina data was present whereas the average of three counts is shown here to include lamina age uncertainty."
72,"Entity POM1 (entity_id=582): Although it contradicts the published age-depth plot, the author stated that the dates at 30.3mm (dating_id=10380) and 298mm (dating_id=10391) were used to construct the original chronology. However, it is suggested to leave these out in age-depth modelling."
74,"V3 (entity_id = 163): In the original age model, only 14C ages were used and 1500 years were subtracted from these ages. This subtraction was made to correct for the dead carbon component (which was considered constant through time). This correction was further justified with the fact that the stalagmite was actively growing at the time of sampling and the U-Th ages supporting a recent age of the tip of the sample. \\This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
76,"Land use: Agricultural area mixed with forest and shrubland. \\ Sampling of CC-1 (entity_id = 165) is unconventional: samples are scrippled along a radial cross section and not along the growth axis of the vertical transect. Geology: Mixed; CC-1 collected from a chamber in andesitic hostrock.The raw uncorrected 14C ages in entity_id=165 are not from the original publication. Only dcp corrected 14C ages were available to us. It is not actively growing when collected."
77,"Vegetation: Mediterranean composed of small bushes and sparse green oaks. \\ Chau-stm6 (entity_id=166): Detrital Th correction not made in original publication and therefore initial Th data is not existent. U-Th ages for entity_id=166 were calculated using the following decay constants: 234U: 2.835*10^(-6)/yr, 238U: 1.55125*10^(-10)/yr, 230Th: 9.1952*10^(-6)/yr, 232Th: 4.9475*10^(-11)/yr. Decay constants are probably derived from the following papers: 230Th: Meadows et al.,1980, 234U: average value from De Bievre et al. 1971 and Lounsbury and Durham 1971."
78,"Entity CHIL-1 (entity_id = 167) has two samples at depth_sample = 458mm with the same interp_age but different isotope values. These were averaged."
79,"Vegetation: Mainly coniferous woodland (red pine and maquis) with bushes and a sparse ground cover. \\ Dim-E3, Dim-E4, Dim-E5 (entity_id = 168, 169, 170): The Sr isotope samples were matched with the stable isotope measurements based on the interpolated age rather then the depth values. Entity Dim-E3 (entity_id = 168): There is interp_age inversion between the following depth_samples: [99.5 and 103.5]. Possible short hiatuses between depths [22.5 & 26.0, 36.5 & 37.5, 132.5 & 133 and 254 & 257.5 mm] with corresponding ages ~23, 33, 60, and 77kyr respectively. Dim1 (entity_id = 754): The epikarst varies in thickness from a few metres to several tens of metres. For Sr isotopes, nine analyses of the NBS987 standard gave a value of 0.710251 ± 0.000003 (4.9 ppm, 1- sigma) at the time of analysis.There is a discrepancy between the mineraology of the date samples and the stable isotope samples. In the case of the latter between 88-98mm from the top is indicated as aragonite, while there are more aragonite samples at more shallow depths in the case of the date samples."
80,"Vegetation: Mixed woodland/shrubland with leafy evergreen trees and shrubs Cinnamomum camphora (Linn.) Presl., Cinnamomum suavenium Miq., Lonicera mucronata Rehd., Loropetalum chinense (R. Br.) Oliv., Photinia serrulata. \\ Entity FR-0510 (entity_id = 172) is not actively growing when collected."
82,"Rock age: Tertiary. Year when the U/Th chemistry for HW-3 (entity_id = 175) was done assumed to be 2006 CE. This was based on dates of thesis publication and field work."
83,"Vegetation: Sparse trees with some bushes including green oak, Alep pine and Montpellier maple. \\ Min-stm1 (entity_id=176): Detrital Th correction not made in original publication and therefore initialTh data is not existent. U-Th ages for entity_id=176 were calculated using the following decay constants: 234U: 2.835*10^(-6)/yr, 238U: 1.55125*10^(-10)/yr, 230Th: 9.1952*10^(-6)/yr, 232Th: 4.9475*10^(-11)/yr. Decay constants are probably derived from the following papers: 230Th: Meadows et al.,1980, 234U: average value from De Bievre et al. 1971 and Lounsbury and Durham 1971."
86,"Age-depth model for MOD-22 (entity_id = 179) was recalculated. Laminae data for MOD-27 (entity_id = 631) was based on 14C bomb peak. MOD-27 (entity_id = 631) is a soda straw. Age model for MOD-21 (entity_id = 632) not available from publication. Sisal_chronologies for entity_id=632 were run manually."
87,"Candela chronology from Moreno et. al has been revised and updated in the newer publication Stoll et. al splice record. Authors recommend to use the new chronology. Intcal2020 calibration used."
88,"Cover: Surface over the cave has a patchy distribution of rendzina soils in between the dominant bedrock exposures that stands <0.5 m from the ground.Vegetation: Consists of a dense mixed forest (spruce, fir and beech trees). \\ Dead carbon fraction as a pMC percentage for POS-STM-4 (entity_id = 181) was calculated using all the values listed in Table 1 of Genty et al. (1998, Earth and Planetary Science Letters 160, 795-809)."
89,"Vegetation: Upper Rock nature reserve is maquis/mattral (olive etc.); in the past was woodland. \\ Gib04a (entity_id = 182): The age model was based on counting back annual cycles in d13C which were known to be forced by reversing seasonal ventilation from cave monitoring. Annual cycles in d13C mapped onto the paired laminae. Minima in d13C represents calcite deposited in late winter (April). The age model was validated by the position of the radiocarbon bomb peak and a high correlation between the d18O of net winter calcite and the corresponding weighted mean of monthly rainfall from the GNIP record. Uncertainty of the age model varies from 0 to c. 1980 thereafter +/-1 year for the older part of the record."
91,"PU-2 (entity_id = 184): The upper three dating points (dating_id = 2723, 2724 and 2725) and the respective interp_age do not reproduce the figure from the paper. The author has been asked for help but this question has not been answered in a satisfying way. The sample was collected in 1977. In the original paper, the model was linear but the data the author provided was obtained with a linear between dates model. It is not actively growing when collected. The chronology (Onac et al., 2002) is no longer valid. New U-Th data shows no hiatus and a different time range. The new U-Th and isotope data will be submitted for publication at the end of 2022 as Dragusin et al."
92,"Keklik1 (entity_id = 185): The DCF is not known. However the method used for age-depth modelling is independent of the knowledge of the DCF and its secular variations. All measured proxies (d18O, d13C and Sr/Ca) show no long term trend, indicating that the DCF is stationary and justifying this approach. The individual 14C ages were not necessary to calibrate to obtain a reasonable age depth relationship. Corr_age, corr_age_uncert_pos and corr_age_uncert_neg were not used for age-depth modeling. Do not use those values for any new remodelling of an age-depth relation. Age-depth modelling followed the procedure proposed in Lechleitner et al. (2016, QG, 10.1016/j.quageo.2016.05.006 ). The raw isotope values are thought to be largely influenced by in-cave fractionation effects. In-cave fractionation corrected values are available at https://www.ncdc.noaa.gov/paleo-search/study/23083"
93,"Corr_age in GC08 (entity_id = 186) were modelled assuming constant initial d234U, and three dates around Termination IV were shifted by +5 kyr (within age error). This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
94,"Geology: Limestone near the base of the karst grading upwards into dolomite. A lower resolution record from stalagmite AB2 was published in Burns et al., 2016 but was superseded by Scroxton et al., 2017 - including an enhanced age model. \\ Entity AB2, AB3 (entity_id = 188, 187): Data shown in paper and online at NOAA are either raw values or corrected to aragonite. Data deposited in SISAL has been corrected to calcite, by the original author, to facilitate comparisons. Conversion made using -0.7 for d18O and -2.5 for d13C for 100% aragonite to calcite. \\ AB2 (entity_id = 188): Mixed mineralogy has been converted as a proportion of the mineralogies present, measured by XRD and XRF: 29% calcite between 90.5 (sample_id = 388296) and 105.1mm (sample_id = 388360) and 24% calcite between 1029.2 (sample_id = 388918) and 1096.2mm (sample_id = 388947).\\ Entity ABC-1(entity_id = 738): Dating material: aragonite vs. calcite was determined uding Mg/Ca and Sr/Ca ratios (higher Mg/Ca=calcite, higher Sr/Ca=aragonite), the date at 21.5mm depth is close to the boundary between the two, trace element analyses were not continued to the base of the sample where the age at 62mm depth was measured."
95,"BC01-07 (entity_id = 191): Modern reference or date of analysis were not specified. Sample was collected in 2001. U-series were analyzed sometime between 2001 and 2016. Dates were converted to BP(1950) assuming 2016 as the year of chemistry."
96,"Land use: Abandoned limestone quarry re-vegetated by woodland. \\ Boss (entity_id=192), BFM-9 (entity_id=193) and F2 (entity_id=194): Laminae depths only given for those depths where we have corresponding isotopes."
97,"BMS1 (entity_id = 195) 230Th 232Th 230/232Th data not available."
98,"Land use: Cover today includes cave's car park. \\ CC3 (entity_id = 196): Decay constants are: 238U = 1.55125E-10, 234U=2.835E-6, 230Th=9.915E-6, 232Th = 4.948E-11. (230Th/232Th) ratios all >20 and all apart from one (youngest sample) > 100 so, no detrital correction applied. Th isotope ratios reported in Table 1 p. 1024 of McDermott et al. (1999) Quaternary Science Reviews 1021-1038."
99,"Vegetation: Deciduous woodland savanna. \\ DP1_2013 (entity_id = 197) and DP1_2016 (entity_id = 198) are two publications on the same speleothem. DP1_2016 (entity_id = 198) is a high resolution isotope and age resampling of the top 261mm of DP1_2013 (entity_id = 197). DP1_2016 (entity_id = 198) age model contains the top three ages from DP1_2013 (entity_id = 197). This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/."
100,"Vegetation: Spruce [Picea abies (L.) H. Karst], beech (Fagus sylvatica L.), maple (Acer pseudoplatanus L.), ash (Fraxinus excelsior L.), whitebeam [Sorbus aria (L.) Crantz] and hornbeam (Carpinus betulus L.). Annual laminae information for K1 (entity_id = 199) and K3 (entity_id = 200) not available. \\ K1 (entity_id=199) and K3 (entity_id=200): Detrital Th correction not made in original publication and therefore initialTh data is not existent."
102,"Vegetation: Herbs, grass and moss with sparse forest with Betula and Picea. Elevation is an average of a range provided in the publications: 540-600 m asl.\\ Entity K11 (entity_id = 202) is missing depth information. K1 (entity_id=450): Detrital Th correction not made in original publication and therefore initial Th data is not existent"
103,"Entity LD12 (entity_id = 203): Stalagmite has an aragonite habit but mineralogy check was not performed."
104,"LR06-B1_2016 (entity_id = 226) and LR06-B3_2016 (entity_id = 227) are high resolution resamplings of the top 2000 years of LR06-B1_2009 (entity_id = 204) and LR06-B3_2009 (entity_id = 205), respectively. New ages recalculated with Cheng et al., 2013 and updated detrital thorium correction are used.\\ LR06-B3_2013 (entity_id = 367) supersedes original record of LR06-B3_2009 (entity_id = 205) and extends beyond hiatus.\\ The d18O time-series for each Liang Luar stalagmite was resampled at 100-year resolution and then averaged to produce a composite d18O record for Flores (LL_Comp_2013; entity_id = 372).\\ Entity LR06-C6 (entity_id = 371) had two samples at depth_sample = 722.1mm, these were averaged."
105,"The sisal_chronology age models of entity SCH-6 (entity_id=663) were run manually."
106,"SE09-6 (entity_id = 208): chronology updated by data contributor in SISALv3. Vegetation: Forest (pine, oak) and shrubs (box, gorse, rosemary, graminae) cover the slopes."
107,"Vegetation: Dense sub-tropical forest of C3 plants. Soil cover thickness 30-60 cm. \\ YOKG (entity_id = 210): Chronology was built by counting annual cycles in d13C, anchored to 14C bomb spike."
108,"Geology: Dolomites, partially dedolimitised. \\ CL26 (entity_id = 212): Decay constants are: 238U = 1.55125E-10, 234U=2.835E-6, 230Th=9.915E-6, 232Th = 4.948E-11 . (230Th/232Th) ratios all greater than 50, so no detrital correction applied. Relict aragonite is preserved in very short intervals, several of which can be seen in the occasional spikes in d13C (3 arrows in upper part of figure 4c in McDermott et al., 1999)."
109,"Vegetation: Some shrubs and evergreen oak.\\ Entity MO7 (entity_id = 216): Age model made with lamina counting and StalAge. Entity MO-1 (entity_id = 217) two separate age models created for before and after the hiatus respectively."
113,"This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/."
115,"Entity HOL-16 (entity_id = 231), HOL-17 (entity_id = 232) and HOL-18 (entity_id = 233) do not have individual age models in original publication. Entity HOL-19 (entity_id = 664): date at 199.5mm depth (dating_id = 11701) is an isochron age and all hiatuses are thick sections of calcified sand (ca. 5cm) and technically not hiatuses. The sisal_chronology age models for entities HOL-16, HOL-17 and HOL-18 (entity_id=231, 232 and 233) were run manually."
116,"Entity BA04 (entity_id = 237): Partin et al., 2007 has d18O, Partin et al. 2013 has d13C, Mg/Ca, Sr/Ca. Information on whether it is actively forming could not be retrieved."
117,"Geology: Low Mg limestone hosting thin dolomite veins. Vegetation; ash, beech, scrub vegetation. \\ Year of U-Th chemistry 2017. Bu1 (entity_id = 240) and Bu4 (entity_id = 242): Additon of extra Th has been added to some U/Th dating samples (dating_id = 3744, 3757, 3762, 3764, 3765, 3766 and 3767) (see reference for more details). \\ Bu2_2018 (entity_id = 596) Sr isotopes have been determined by MC-ICP-MS. Sr isotopes are reported with 2 SE uncertainty. All other trace element uncertainties are given as 1σ. Author downsampling: average within the depth range of one stable isotope."
121,"Vegetation: Alpine mats and shrubs. Land use: wilderness. Geology: calcite mylonites.\\ TKS (entity_id=252) has unclear U isotope notation in the original paper (dU). Because of this, U isotope data is missing in the dating table."
122,"HS4_2008 (entity_id = 253) and HS4_2013 (entity_id = 254): The floating layer-counted chronology is tied to the 9 Bayesian U/Th ages by sliding the whole floating section to older or younger ages until the minimum average deviation from the U/Th ages is achieved. This layer-counted age model does not refine the absolute chronology for the 8.2 kyr event relative to that achieved from the U/Th chronology, but allows the duration of the event to be constrained at close to annual precision. See supplementary material DOI: 10.1038/ngeo1708 for further details. \\ Entity HS4_2008 (entity_id = 253) is not actively growing when collected."
123,"Entity MB-6 (entity_id = 258) does not have age model in original publication. The sisal_chronologies for entity MB-6 (entity_id=258) has been run manually"
128,"Vegetation and land use: Forest with patches of grass and farmland. \\ Entity BCC-10_2019 (entity_id = 682): Samples from the section below 204.75mm in original dataset not included due to age inversions."
131,"Vegetation: Mixed deciduous and evergreen forest. \\ ER76 (entity_id=279): The lower part of the stalagmite is based on a floating lamina-counted chronology that is adjusted to the U-Th data."
133,"RL4_2006 (entity_id = 282), RL4_2016 (entity_id = 283) and RL4_2018 (entity_id = 381) share the same U-Th dates. Their 'decay_constant=other because they were calculated using the following decay constants: 234U: 2.835×10^(-6 )/yr and 230Th: 9.195 × 10^(-6)/yr. Duplicate isotope samples of RL4_2006 (entity_id = 282) at depth_sample = 80.1, 78.63, 82.1mm with different interp_age and isotope values have been averaged. RL4_2018 (entity_id = 381) supersedes RL4_2006 (entity_id = 282) and RL4_2016 (entity_id = 283)."
134,"This site's elevation has been extracted from the 'NOAA NGDC GLOBE topo Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
135,"GP2 and GP5 (entity_id = 591, 464) NIST SRM612 and MACS3 used as reference standards. Authors note that although some peaks in the data can be interpreted as PCP, long term trends need to be treated with caution, and likely reflect other processes."
136,"In all entities from this site (JX-6 (entity_id = 286), JX-2 (entity_id = 287), JX-10 (entity_id = 288) and JX-7 (entity_id = 289)): Average crustal value for initial 230Th/232Th atomic ratio = 4.4 +- 2.2 ppm (assuming bulk earth 232Th/238U value of 3.8). Decay constants are 9.1577E-06 year-1 for 230Th, 2.8263E-06 year-1 for 234U and 1.55125E-10 year-1 for 238U.\\ JX-6 (entity_id = 286) was corrected for aragonite in the 2013 paper. Original values (0.38 permil lower) are reported here. \\ Entity JX-7 (entity_id = 289) is not actively growing when collected."
137,"Age models for KC-1 (entity_id = 290) and KC-3 (entity_id = 291) and the KC-Composite (entity_id = 282) 18O time series were constructed by linear interpolation using the intra-site correlation age modelling (iscam) software.\\KC-1 (entity_id = 290): Trace element data is at half the sampling resolution of reported stable isotope data already in SISAL. Mg/Ca and Sr/Ca ratios were converted to mmol/mol from mg/g."
